Collection Name,Link to collection metadata,Archive,Level to integrate into EHRI portal,EHRI portal integration? (Y/N/staging set),Relevant sub-components (folder-level ingests only; some notes may also be included for collection level):,Reference,Finding Aid ID,Conditions governing access (if provided),Original archive's email/website,Further archival contact information
Documents isolés et petits fonds d'origine privée (804-2019),https://francearchives.gouv.fr/en/findingaid/64333226b46a402c478a26f0518c4b65eb657c0a,Archives départementales de l'Hérault,Folder,,"Specifically: Archives politiques-->Guerre 1939-1945. - Tracts et affiches de propagande du gouvernement de Vichy et du Parti Populaire Français (antisémitisme, anglophobie, américanophobie, encouragement au travail volontaire en Allemagne).",,FRAD034_000000169,"Communicabilité libre, sauf mentions particulières dans le corps de l'instrument de recherche.",archives@herault.fr,https://francearchives.gouv.fr/en/service/33680
Dossiers de la Commission pour l'enseignement de la Shoah (2000-2008),https://francearchives.gouv.fr/en/findingaid/1f976a7b64775f008de6d4fb39191f86070b30c7,Archives nationales de France,Collection,,,20080404/1-20080404/4,FRAN_IR_056274,"Les conditions d'accès à ce fonds d'archives publiques sont soumises à la loi n° 2008-696 du 15 juillet 2008 (codifiée dans le livre II du Code du Patrimoine) relative aux archives. En vertu de cette loi, l'ensemble des articles est librement communicable.",http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Economie et travail dans les Landes (1939-1947) (328 W),https://francearchives.gouv.fr/en/findingaid/8c68045bbd9746e3d662e8056ff83157977e49a0,Archives départementales des Landes,Folder,,"https://francearchives.gouv.fr/en/facomponent/47165894adb1dce5779216b49a4c830b2e0d0f40, https://francearchives.gouv.fr/en/facomponent/b87a7e812f47848ce0f5b1fae8c7df320380299a, https://francearchives.gouv.fr/en/facomponent/b2f8ae1dfb8829bcc5dcc22836e99cfc67b4d679, https://francearchives.gouv.fr/en/facomponent/fb7ead9496b90a20d72dc904821bc457209d9988    ",,FRAD040_0000328W,Statut juridique Archives publiques,archives@landes.fr,https://francearchives.gouv.fr/en/service/33752
"Emploi, cohésion sociale et logement ; Service social d'aide aux émigrants (SSAE) (1921-2004)",https://francearchives.gouv.fr/en/findingaid/56b7a32802b65fd0aebbe5a33ad2f2c144db09f6,Archives nationales de France,Folder,,"CONSEILS D'ADMINISTRATION, FONCTIONNEMENT DU SSAE PENDANT LA SECONDE GUERRE MONDIALE, AIDE AUX REFUGIES ET RAPATRIES, ACTION SOCIALE, LOGEMENT, RELATIONS INTERNATIONALES, CONFERENCES: https://francearchives.gouv.fr/en/facomponent/38b2e8ca7a46da7ed469b09cf4f5116cbf55aa4f. Especially: Emploi, cohésion sociale et logement ; Service social d'aide aux émigrants (SSAE) (1921-2004)
CONSEILS D'ADMINISTRATION, FONCTIONNEMENT DU SSAE PENDANT LA SECONDE GUERRE MONDIALE, AIDE AUX REFUGIES ET RAPATRIES, ACTION SOCIALE, LOGEMENT, RELATIONS INTERNATIONALES, CONFERENCES
SSAE pendant la Seconde guerre mondiale.",20050590/1-20050590/168,FRAN_IR_020142,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
"Enfants perdus, recueillis, recherchés, retrouvés 1940-1942",https://francearchives.gouv.fr/en/findingaid/190a04381e6adb62a49e8107daa4da96ef3a5c66,Archives nationales de France,Collection,,,20160291/1-20160291/16,FRAN_IR_055826,Librement communicable sous réserve des restrictions imposées par les dispositions de l'article L213-2 du code du patrimoine,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Etats des inventaires de la collection Mémoires vivantes de La contemporaine,https://francearchives.gouv.fr/en/findingaid/370e07936c6945d2cdc75b1b0c4b87aeaf5161c0,La Contemporaine,Folder,,Entretiens des témoins et acteurs de l'histoire: https://francearchives.gouv.fr/en/facomponent/a39cb5f617928065d7dd8f9f04c9c01d71bd10e5 ,,FR_920509801_LC_Audiovisuel_8_1_Maitre_Coll_Bdic_Audio_MV,,http://www.lacontemporaine.fr/,https://francearchives.gouv.fr/en/service/76315055
Etats des inventaires des collections de la Seconde guerre mondiale La contemporaine,https://francearchives.gouv.fr/en/findingaid/02f2eb72013e5acfc4a4d7085d282f300123470c,La Contemporaine,Collection,,,,FR_920509801_LC_Archives_6_Maitre_Collections_LC_39_45,,http://www.lacontemporaine.fr/,https://francearchives.gouv.fr/en/service/76315055
Etats des inventaires des collections photographiques du Musée d'histoire contemporaine (La contemporaine),https://francearchives.gouv.fr/en/findingaid/b0fceb51001fcd5da4e6119a0e34d5f24a9c5d0a,La Contemporaine,Folder,,Seconde guerre mondiale en Europe : de la préfiguration de la guerre aux commémorations de la Victoire du 8 mai 1982 en France,,#NAME?,,http://www.lacontemporaine.fr/,https://francearchives.gouv.fr/en/service/76315055
Etats des inventaires des collections photographiques du Musée d'histoire contemporaine (La contemporaine),https://francearchives.gouv.fr/en/findingaid/2f010c5846997babcd184e1f9e8783a1b11d0997,La Contemporaine,Folder,,Specifically: Propagande allemande : Antisémitisme (document(s) deeper in collection),,FR_920509801_LC_Archives_9_3_Maitre_Coll_Musee_Photos_4,,http://www.lacontemporaine.fr/,https://francearchives.gouv.fr/en/service/76315055
Expositions des Archives départementales du Territoire de Belfort,https://francearchives.gouv.fr/en/findingaid/e3e01ce3970425d5f4cc2c2f2c4d2c2f86debe34,Archives départementales du Territoire de Belfort,Folder,,For example: Vichy et le IIIe Reich contre les juifs: https://francearchives.gouv.fr/en/facomponent/b8cf74e48483857b5a27a07db9c068786e22b30e,,FRAD090_expositions,,"
archives@territoiredebelfort.fr",https://francearchives.gouv.fr/en/service/34324
Feuilles de témoignages des juifs de la Somme - Pages of Testimony - Yad Vashem (site partenaire),https://francearchives.gouv.fr/en/findingaid/e252cb413b815b5128d002d569f00a6f34d86680,Archives départementales de la Somme,Collection,Needs to be added,NOTE: THIS IS VIA YAD VASHEM'S PAGES OF TESTIMONY; MOST COULD ALREADY BE IN THE EHRI PORTAL.,,FRAD080_DOSSIER_D,,archives@somme.fr,https://francearchives.gouv.fr/en/service/34229
"Fichiers de la Préfecture de police de la Seine et des camps de Drancy, Pithiviers et Beaune-la-Rolande (dits « fichiers juifs »)",https://francearchives.gouv.fr/en/findingaid/0347b6d99585c19bcacda9d982ed41cb30825b46,Archives nationales de France,Collection,,,MIC/F/9/5605-MIC/F/9/5788,FRAN_IR_003894,Les fichiers sont consultables sous forme de microfilms sous les cotes MIC/F/9/5605/1 à 5788 et sous forme numérisée sur les postes dédiés en salle d'inventaires.,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Fondation pour la Mémoire de la Déportation : mémoire vivante de la Déportation,https://francearchives.gouv.fr/en/findingaid/51695803670f09101a2ca2d78e2bf5d576060ef7,Archives nationales de France,Collection,,,72AJ/AV/2938-72AJ/AV/3038,FRAN_IR_054642,La consultation des des entretiens et l'audition des témoignages se font sur autorisation de la Fondation pour la Mémoire de la déportation en conformité avec les articles L.213-1 à L.213-7 du Code du patrimoine.conducteurs,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Fonds Abraham (1924-1956),https://francearchives.gouv.fr/en/findingaid/025f4559ef3c33073ccc90f103cedc1e1e93ae4b,Archives nationales de France,Collection,,,312AP/1-312AP/16,FRAN_IR_005207,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Fonds Adolphe Benamour (143 J),https://francearchives.gouv.fr/en/findingaid/15480c8d4d0470c825e48ab5d5cf985bc8c958b2,Archives départementales de l'Hérault,Collection,,,143 J 1-368,FRAD034_000000067,"Archives privées
Communication soumise à l'autorisation du déposant, sauf pour les enregistrements audio (143 J 359-368) qui ont été numérisés et sont librement consultables.",archives@herault.fr,https://francearchives.gouv.fr/en/service/33680
Fonds Alain Le Grand (208 J),https://francearchives.gouv.fr/en/findingaid/b4efa89621c0d22c233ccf1a3a270c020eea8c9c,Archives départementales du Finistère,Collection,,,1,FRAD029_00000208J,"Modalités d'accès
Accès libre. Certains dossiers toutefois, relatifs à la vie privée des personnes, ne sont pas communicables (respect de la vie privée).",archives.departementales@finistere.fr,https://francearchives.gouv.fr/en/service/33616
Fonds Charles Dubost,https://francearchives.gouv.fr/en/findingaid/d818bcc9f6535869932160e2f8833ab2e5546df2,Sciences Po - DRIS - Département archives,Collection,,,CD et 10 CD,FR_751079802_CD,"Communication soumise à autorisation
Thérèse Dubost-Coudray et Laurent Pardieu donnent une autorisation générale et permanente de communication sous la responsabilité de la Fondation nationale des sciences politiques. La consultation du fonds est soumise au règlement de la salle de lecture du département archives de la DRIS.
Publiable sur internet","
departement.archives@sciencespo.fr",https://francearchives.gouv.fr/en/service/439975054
Fonds Conseil National de la Résistance - Louis Saillant,https://francearchives.gouv.fr/en/findingaid/36f11ea0e777f84403257f7991b2a985350fdd15,Humathèque Condorcet - Service des archives,Collection,,,Paris1 CHS CNR,FR-930019801-Paris1-CHS-CNR,Certains documents de ce fonds contiennent des informations sensibles à caractère privé concernant des personnes physiques et morales. Ils ne peuvent être communiqués qu'après autorisation délivrée par la bibliothèque du CHS. C'est le cas notamment des dossiers nominatifs constitués par la Commission de la justice du CNR dans le cadre de l'épuration.,archives.humatheque@campus-condorcet.fr,https://francearchives.gouv.fr/en/service/224765870
Fonds de l'Amicale nationale des déportés et familles de disparus de Mauthausen et de ses Kommandos,https://francearchives.gouv.fr/en/findingaid/eb350fa8b0d3149fbb0d6a908a8d2a0788c67d5c,Archives nationales de France,Collection,,,88AJ/1-88AJ/429,FRAN_IR_031022,La communication du fonds est libre.,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Fonds de l'Association Nationale des Anciens de la Résistance et Patriotes réunis [ANAR] (1940-2006),https://francearchives.gouv.fr/en/findingaid/6f08232c37c4b8a56c82f124bb1f8c534775d138,Archives départementales de l'Hérault,Collection,,,182 J 1-22,FRAD034_000000798,Selon les lois et règlements en vigueur pour les archives publiques.,archives@herault.fr,https://francearchives.gouv.fr/en/service/33680
"Fonds des familles Millet, Négré, Roux et Sauvaget",https://francearchives.gouv.fr/en/findingaid/9e491abccb604ca31a0ff2ea760c2b6703ee94e8,Archives départementales de Charente-Maritime,Folder,,"Roux Jacques (1925-1944), https://francearchives.gouv.fr/en/facomponent/80b7a8dc0897cb82e86c45b338188f408502e1f2",292 J 1-28,FRAD017_292j,"Statut juridique Archives privées
Communicabilité
Le fonds est librement communicable.",archives@charente-maritime.fr,https://francearchives.gouv.fr/en/service/33520
Fonds du bureau de liaison chargé des relations avec les autorités allemandes d'occupation (1940-1944),https://francearchives.gouv.fr/en/findingaid/5c3d0d55cb62086a8d792bc9ce447af7d3f373f7,Archives départementales de l'Aube,Collection,,,,FRAD010_00000310W,,archpat.aube@aube.fr,https://francearchives.gouv.fr/en/service/33438
Fonds du colonel André Pavelet (1940-1967),https://francearchives.gouv.fr/en/findingaid/735741771b2e3d1cb42ab65772d96cdf6d4d9922,Archives départementales de l'Hérault,Collection,,,173 J 1-28,FRAD034_000000657,"Archives privées
Communication sur autorisation écrite du donateur.",archives@herault.fr,https://francearchives.gouv.fr/en/service/33680
Fonds du Mémorial de la Shoah conservé aux Archives départementales des Deux-Sèvres,https://francearchives.gouv.fr/en/findingaid/7826cab2cf873a97df7399c01a98c6fb92432a94,Archives départementales des Deux-Sèvres,Collection,,"Note: Mémorial de la Shoah is already in EHRI portal. A quick search revealed that these specific collections were not showing up by name in the EHRI portal, however",R 331 ; SC 2914-4893 ; 158 W 27-146 ; 159 W 4 ; 1125 W 179 ; 1385 W 4-5 ; 1489 W 5,FRAD079_MEMORIAL_SHOAH,,archives@deux-sevres.fr,https://francearchives.gouv.fr/en/service/34221
Fonds Francis Gourvil,https://francearchives.gouv.fr/en/findingaid/41e516827aec344e65c6bc4f56e2bc9246bded02,Archives départementales du Finistère,Collection,,Documents relatifs à la Seconde Guerre mondiale.,1,FRAD029_00000204J,"Statut juridique Archives privées
Communicabilité
Accès libre, sous réserve du respect de la vie privée.","
archives.departementales@finistere.fr",https://francearchives.gouv.fr/en/service/33616
Fonds Henri Absalon,https://francearchives.gouv.fr/en/findingaid/9c173cbf8721cdbde269fb91fecbc375e3111f22,Archives départementales des Vosges,Collection,,,29 J,FRAD088_29J,Publiable en salle de lecture,vosges-archives@vosges.fr,https://francearchives.gouv.fr/en/service/34309
Fonds Henri Crevon,https://francearchives.gouv.fr/en/findingaid/c85791b979e0177f01b2d9d43e9d3ebca0b7436a,Archives départementales du Cantal,Collection,,,99 J 1-5,FRAD015_99_J,"Statut juridique Archives privées
Communicabilité
Librement communicable.",archives@cantal.fr,https://francearchives.gouv.fr/en/service/33506
"Fonds Ignace Meyerson [521AP], (1888-1984)",https://francearchives.gouv.fr/en/findingaid/adc270eb0addb10a8fcad03e4f5fca88392eb418,Archives nationales de France,Collection,,,19920046/1-19920046/67,FRAN_IR_017786,"Communication libre, selon les modalités en vigueur aux Archives nationales.",http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Fonds Jacques Kayser (1870-1970),https://francearchives.gouv.fr/en/findingaid/62113e2feb0ed09b3ebd667604eaa14351079ca8,Archives nationales de France,Collection,,,465AP/1-465AP/75,FRAN_IR_003639,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Fonds Jean Courant,https://francearchives.gouv.fr/en/findingaid/75223b549e4bbb8fa9ab341a7cf4ca020613e1f4,Archives départementales de Charente-Maritime,Collection,,,288 J 1-66,FRAD017_288j,"Statut juridique Archives privées
Communicabilité
L'ensemble du fonds librement communicable.",archives@charente-maritime.fr,https://francearchives.gouv.fr/en/service/33520
Fonds Jean Truffy,https://francearchives.gouv.fr/en/findingaid/41c1e024b25b957a7d63f9697aa1d9d5188edcce,Archives départementales de la Haute-Savoie,Collection,Y,,190 J 1-19,FRAD074_000000922,Archives privées,archedep@hautesavoie.fr,https://francearchives.gouv.fr/en/service/34110
"Fonds Jean Zay (1775, 1870-2015)",https://francearchives.gouv.fr/en/findingaid/5a13affb0dc3d5e19ccfb01ebc22d45ffacbaf2a,Archives nationales de France,Collection,,,667AP/1-667AP/195,FRAN_IR_028000,Sur autorisation,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Fonds Léonce Dussarrat (140 J),https://francearchives.gouv.fr/en/findingaid/588c4697fb4faefd7a50d042c412c45e914972ee,Archives départementales des Landes,Collection,,,,FRAD040_00000140J,Statut juridique Archives privées,archives@landes.fr,https://francearchives.gouv.fr/en/service/33752
Fonds Lionel Martin 188 J,https://francearchives.gouv.fr/en/findingaid/d411fe7fa0c0df4cf300c7d8b176488e8e63b457,Archives départementales de la Haute-Savoie,Collection,Y,resistance activities,188 J 1-12,FRAD074_000000902,"Archives privées
Communicable","
archedep@hautesavoie.fr",https://francearchives.gouv.fr/en/service/34110
Fonds Maxime Fischer,https://francearchives.gouv.fr/en/findingaid/e2cca2b0c76133af58f839f48ece58a18de354cd,Archives départementales de Vaucluse,Collection,,Jewish resistance,177 J 1-135,FRAD084_IR0001587,,archives84@vaucluse.fr,https://francearchives.gouv.fr/en/service/34265
Fonds René Cassin (1914-1976),https://francearchives.gouv.fr/en/findingaid/22cbdf56214a42d01bc7242c683242d6e30b5ff5,Archives nationales de France,Collection,,,"382AP/1-382AP/210, 382AP/212-382AP/237",FRAN_IR_004914,Librement communicable sous réserve de l'état matériel des documents.,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
"Fonds René Poitevin (1911-1972), compagnon de la Libération (1911-2008)",https://francearchives.gouv.fr/en/findingaid/a615b2aa4d6aff654bd85445a86aa4baf6f94318,Archives départementales de l'Hérault,Collection,,,189 J 1-12,FRAD034_M_000088,Communicable selon les lois et décrets en vigueur pour les archives publiques.,"
archives@herault.fr",https://francearchives.gouv.fr/en/service/33680
Fonds Robert Volland,https://francearchives.gouv.fr/en/findingaid/edd098e0bd374307923ba19a631837a9c5877dfc,Archives départementales de l'Ain,Collection,,,63 J 1-26,FRAD001_63J,"Archives privées Archives privées
L'ensemble des documents est librement communicable en salle de lecture dans les conditions prévues par le règlement et la législation en vigueur.",archives.departementales@ain.fr,https://francearchives.gouv.fr/en/service/33359
Fonds Simone VEIL (1828-2017),https://francearchives.gouv.fr/en/findingaid/2b641ee2b0b00c84748296749b9535e37990ad6f,Archives nationales de France,Collection,,,688AP/1-688AP/537,FRAN_IR_050929,Reproduction sur autorisation,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
"France libre et Gouvernement provisoire de la République française, documentation (1941-1944)",https://francearchives.gouv.fr/en/findingaid/09f69517cca1bd5472acde01ee83761ccb453b21,Archives nationales de France,Collection,,,F/60/1666-F/60/1776,FRAN_IR_001626,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Gouvernement général de l'Algérie Direction régionale de l'aryanisation économique (1941-1950),https://francearchives.gouv.fr/en/findingaid/2429ac2184f261b671d34a2ea36ec0b00fc2d5df,Archives nationales d'outre-mer - ANOM,Collection,,,GGA 30G 1 à 19,FRANOM_01182,"Archives publiques. Archives publiques librement communicables
Publiable sur internet",anom.aix@culture.gouv.fr,https://francearchives.gouv.fr/en/service/34641
Graffiti sur carreau de plâtre provenant du camp de Drancy (1941-1944),https://francearchives.gouv.fr/en/findingaid/21de7ba6c08957de1a4177337b3ee1e4eb63d235,Archives nationales de France,Collection,,,AE/VIs/1-AE/VIs/87,FRAN_IR_053857,Sur autorisation,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Groupe de travail sur les spoliations et les restitutions (GTSR) - Cote 0200150001-0200150006,https://francearchives.gouv.fr/en/findingaid/8098cbe3362e18b0f13304a49bc4f709aefb0448,Caisse des Dépôts - Service des archives,Collection,,,,FRCDC180020026_020015,Librement communicable sous réserve des restrictions imposées par l'état matériel des documents et des dispositions de l'art. L. 213-2 du Code du patrimoine,archiveshistoriques@caissedesdepots.fr,https://francearchives.gouv.fr/en/service/249006481
Guerre de 1939-1945. Archives de Lazare Rachline (1905-1968),https://francearchives.gouv.fr/en/findingaid/dcec100c5fa55848ad1d844c1d43611aa0d9f593,Archives nationales de France,Collection,,"In EHRI portal via ""EHRI partner"": https://portal.ehri-project.eu/units/fr-002374-72aj_2925_72aj_2929",72AJ/2925-72AJ/2929,FRAN_IR_055094,Fonds librement communicable.,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Archives de Marie-Céline de Dorlodot,https://francearchives.gouv.fr/en/findingaid/4af35736f11ff9cfc669b7ba4891aac5a7237f99,Archives nationales de France,Collection,,,72AJ/3000-72AJ/3182,FRAN_IR_055109,Librement communicable,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Archives de Paul Docquois,https://francearchives.gouv.fr/en/findingaid/9d67203591bfcbe4863f21d98880ff7c10e2f5f5,Archives nationales de France,Collection,,,72AJ/2450-72AJ/2461,FRAN_IR_027961,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Archives du Comité d'histoire de la Deuxième Guerre mondiale et fonds d'origine privée,https://francearchives.gouv.fr/en/findingaid/1ee115abd4f946d9922be04015c0453e226d5eaf,Archives nationales de France,Collection,,,,FRAN_IR_054523,Une grande partie de la sous-série est librement communicable. Certains fonds privés restent soumis à l'autorisation de leurs ayants-droit.,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Archives du Réseau du Souvenir,https://francearchives.gouv.fr/en/findingaid/c2abfbe2f2ac9414474534f8b48521e1b74d296e,Archives nationales de France,Collection,,,72AJ/2141-72AJ/2170,FRAN_IR_027949,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Camps et prisons en France,https://francearchives.gouv.fr/en/findingaid/f8ee222c41a8a8df0ad1aab24309975e376f0d87,Archives nationales de France,Collection,,,737Mi/1-737Mi/4,FRAN_IR_057940,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
"Guerre de 1939-1945. Documents divers sur la déportation, classés par camp",https://francearchives.gouv.fr/en/findingaid/5ffe856f29e93559bbb2056bab923e271dab38be,Archives nationales de France,Collection,,,736Mi/1-736Mi/55,FRAN_IR_057939,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Fonds André Boulloche,https://francearchives.gouv.fr/en/findingaid/bd416cc31267ea7c30dfc1ab613381d973398851,Archives nationales de France,Collection,,,72AJ/2056-72AJ/2062,FRAN_IR_027948,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Fonds Brutus-Boyer (1915-2014),https://francearchives.gouv.fr/en/findingaid/83745c15d506250e7c027442147204ba5d1f2aa4,Archives nationales de France,Collection,,,72AJ/2463-72AJ/2467,FRAN_IR_027963,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Fonds Louis Noguères (1881-1956),https://francearchives.gouv.fr/en/findingaid/f6a061ba86315031ee6e396f21c046db7219f3ac,Archives nationales de France,Collection,,,72AJ/3660-72AJ/3702,FRAN_IR_060214,"Communication libre, sous réserve du règlement en vigueur dans la salle de lecture des Archives nationales.",http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Fonds Pierre Claudius Giraud (1916-1968),https://francearchives.gouv.fr/en/findingaid/ff3a70854d5c4085c1dd96f4c14ea3288b0e8ba7,Archives nationales de France,Collection,,,72AJ/3633-72AJ/3639,FRAN_IR_059791,Communication libre,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. Fonds Szmul Zacharie Simon Hercenberg,https://francearchives.gouv.fr/en/findingaid/599952ccd95fe21ef207b7e2c98b60044677e29b,Archives nationales de France,Collection,,,72AJ/2319,FRAN_IR_027945,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Guerre de 1939-1945. La France et la Belgique sous l’occupation allemande (1940-1944). Les fonds allemands conservés aux Archives,https://francearchives.gouv.fr/en/findingaid/685b04b310b31831b6ddad9964e4b7d5090db361,Archives nationales de France,Collection,,,AJ/40/1-AJ/40/1685,FRAN_IR_000882,"Communicables selon les articles L.213-1 à 213-8 du Code du patrimoine, sous réserve des restrictions imposées par l’état matériel des documents.",http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
"Guerre de 1939-1945. Microfilms de complément. Victimes civiles et militaires, internés et déportés, prisonnieres de guerre, travailleurs, incorporés de force",https://francearchives.gouv.fr/en/findingaid/2b044d47699a728e3c73cd942bb6f1393aaa29f3,Archives nationales de France,Collection,,,"607Mi/1-607Mi/8, 608Mi/1-608Mi/4, 609Mi/1-609Mi/29, 611Mi/1-611Mi/5, 612Mi/1-612Mi/177, 618Mi/1-618Mi/21, 619Mi/1-619Mi/95, 622Mi/1-622Mi/25, 623Mi/1-623Mi/5, 624Mi/1-624Mi/26, 625Mi/1-625Mi/77, 636Mi/1-636Mi/2, 735Mi/1-735Mi/4, 736Mi/1-736Mi/55, 737Mi/1-7",FRAN_IR_057978,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Haute Cour de justice. Volume 1,https://francearchives.gouv.fr/en/findingaid/2fe69052b09117b284e8bd560bd131a34afb1cb3,Archives nationales de France,Collection,,,3W/1-3W/76,FRAN_IR_001968,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Haute Cour de justice. Volume 9,https://francearchives.gouv.fr/en/findingaid/543f5001b506fddca4c0d055dd385646ca3453b8,Archives nationales de France,Collection,,,3W/277-3W/309,FRAN_IR_001976,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Héritage et mémoire de la Seconde Guerre mondiale,https://francearchives.gouv.fr/en/findingaid/d250d4296e28f4c73301691b000bd2c78d589aac,Humathèque Condorcet,Collection,,,CNRS IHTP DP 001-020,FR-930019801-CNRS-IHTP-DP001,,archives.humatheque@campus-condorcet.fr,https://francearchives.gouv.fr/en/service/224765870
Hôpital Bichat - Claude-BernardHôpital Bichat - Claude-Bernard,https://francearchives.gouv.fr/en/findingaid/f45a145e64b93b4c8bd52978bccc958466076738,Département des patrimoines culturels - Archives et Musées de l'AP-HP,Folder,,"Hôpital Bichat - Claude-BernardHôpital Bichat - Claude-Bernard
Population - Malades hospitalisés.
Claude-Bernard.
Suivi des patients.
Documents spécifiques aux événements de la Seconde Guerre mondiale.
Registre des malades juifs venant du camp de Drancy.",,FRAPHP075_BICHAT_CLAUDE_BERNARD,Publiable sur internet,archives.ap-hp@aphp.fr,https://francearchives.gouv.fr/en/service/34597
"Industrie ; Direction générale de l'industrie ; Direction industries métallurgiques, mécaniques, électriques (1939-1959)",https://francearchives.gouv.fr/en/findingaid/acbcd8aa60bff8b80a0b6f255998d30a0f5cf8a9,Archives nationales de France,Folder,,". commandes allemandes : correspondance, notes, circulaires, comptes rendus hebdomadaires des commandes - 1941-1944 . entreprises juives (application de l'ordonnance allemande du 18.10.1940 sur les entreprises juives) : nomination d'administrateurs provisoires, recensement des entreprises juives - 1941 . sociétés américaines problèmes posés par l'administration de sociétés françaises à capitaux américains - 1941-1946 . dommages de guerre généralités et documents concernant la reconstitution d'usines sinistrées - 1941-1946 . incidents dans les usines, épuration... - 1944-1946 . établissements Cail : épuration au sein de la société - 1944-1946 . aide aux forces alliées commandes des forces alliées stationnées en France - 1944-1946. https://francearchives.gouv.fr/en/facomponent/a4b74b0db42fa93394cc2b52cff7a87e016612d4",19830589/1-19830589/21,FRAN_IR_020925,,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Intérieur ; Direction de la Sûreté nationale ; Direction centrale de la police judiciaire,https://francearchives.gouv.fr/en/findingaid/e73d566ce539a5ff9ec424f315b09790b5fb6da4,Archives nationales de France,Collection,,There may be some overlap with existing EHRI portal info; see for example: https://portal.ehri-project.eu/institutions/fr-002374/search?q=Direction+de+la+S%C3%BBret%C3%A9+nationale,,FRAN_IR_056860,Librement communicable par dérogation générale en application de l'arrêté du 25 décembre 2015 portant ouverture d'archives relatives à la Seconde guerre mondiale.,http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
Intérieur ; Direction de la Sûreté nationale. Fichier de police judiciaire : affaires concernant des attentats (série 15207) entre 1940 et 1946,https://francearchives.gouv.fr/en/findingaid/ba3025dbcfb6ebc7eb6388dc1cd0eebe9fe24bc2,Archives nationales de France,Collection,,,"F/7/14683, F/7/14684, 19880042/25/1-19880042/42/3",FRAN_IR_055920,"Librement communicable en application de l'arrêté de dérogation générale du 24 décembre 2015 portant ouverture d'archives relatives à la Seconde guerre mondiale.
Le présent instrument de recherche prend en compte la réglementation en vigueur concernant la diffusion de données à caractère personnel sur internet (cf. loi n° 2018-493 du 20 juin 2018 permettant la mise en oeuvre du Règlement général sur la protection des données -RGPD).
Les données à caractère personnel ou sensible peuvent être consultées uniquement sur les postes informatiques de l’un des sites des Archives nationales.",http://www.archives-nationales.culture.gouv.fr,https://francearchives.gouv.fr/en/service/34633
